name,genre,age_group,runtime,country,director,cast,description,released,popular
Falling Inn Love,"Comedies, Romantic Movies",Teens,98,United States,Roger Kumble,"Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman, Anna Jullienne, Claire Chitham, Blair Strang, Jonathan Martin, William Walker, Daniel Watterson, Simone Walker","When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",2019,4
Falz Experience,"International Movies, Music & Musicals",Adults,82,,Falz,"Falz, Adunni Ade, Bisola Aiyeola, Frank Donga","Playing multiple characters, from lawyer to preacher, Nigerian artist Falz combines cinema with a concert after his successful 2017 end-of-year show.",2018,1
Familiye,"Dramas, Independent Movies, International Movies",Adults,99,Germany,"Sedat Kirtan, Kubilay Sarikaya","Kubilay Sarikaya, Arnel Taci, Muhammed Kirtan, Violetta Schurawlow, Burak YiÃÂit, Giwar Xatar Hajabi, Ridvan Kirtan, Ilhan Erdinc, Michael Hanemann, Sedat Kirtan","An ex-con struggles to take care of his two brothers, a gambling addict and a young man with Down syndrome, after being released from prison.",2017,4
Family Blood,Horror Movies,Adults,92,United States,Sonny Mallhi,"James Ransone, Vinessa Shaw, Ajiona Alexus, Colin Ford","A former addict moves to a new city with her children for a fresh start, but her struggle soon takes on an unexpected, supernatural dimension.",2018,4
Famous in Ahmedabad,"Documentaries, International Movies",Young Adults,29,India,Hardik Mehta,,Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at IndiaÃ¢ÂÂs biggest kite-flying festival.,2015,2
Fan of Amoory,"Children & Family Movies, Dramas, International Movies",Kids,109,United Arab Emirates,Salmeen AlMurry Amer,"AlMulla AbdulRahman, Mansour Al Felei, Abdullah Bin Heider, Alhamadi Hamad, Alzaabi Matar, AlBloushi Mayed, Althogali Saif, Alaa Shakir","Inspired by his idol Omar Abdulrahman, a young boy navigates obstacles as he chases his dream of becoming a professional soccer player.",2018,5
Fanatic,Thrillers,Young Adults,91,United States,Keith L. Smith,"Denyce Lawton, Hosea Chanchez, Michelle Mitchenor, Darius McCrary, Shawne Merriman, Sticky Fingaz, Miguel A. NÃÂºÃÂ±ez Jr., Masika Kalysha, Zac Titus","When a successful young rap star has an affair with an obsessive fan, his life is turned upside down when she kidnaps him.",2019,3
Fanatyk,"Comedies, Dramas, Independent Movies",Adults,33,Poland,MichaÃÂ Tylka,"Piotr Cyrwus, MikoÃÂaj Kubacki, Anna Radwan, Marian DziÃÂdziel, Jan Nowicki, Juliusz ChrzÃÂstowski, MaÃÂgorzata Krzysica, Jacek Strama","As a son deals with his own struggles, he must calm his father's obsession with fishing before his outlandish behavior ruins the entire family.",2017,2
Fandry,"Dramas, Independent Movies, International Movies",Unknown,102,India,Nagraj Manjule,"Somnath Awghade, Sanjay Chaudhri, Chhaya Kadam, Kishore Kadam",,2014,5
Fantastica,"Comedies, International Movies, LGBTQ Movies",Teens,114,Philippines,Barry Gonzalez,"Vice Ganda, Richard Gutierrez, Dingdong Dantes, Bela Padilla",The owner of a struggling carnival starts putting on small-time shows to save his wonderland as an old friend asks for help with a magical mission.,2018,4
Faraar,"Action & Adventure, Dramas, International Movies",Young Adults,146,Australia,Baljit Singh Deo,"Kainaat Arora, Jaggi Singh, Gippy Grewal","When a man is arrested on arrival in America because authorities mistake him for a wanted gangster, a new friend tries to help him prove his innocence.",2015,5
Farce,"Comedies, International Movies",Adults,94,Egypt,Shadi Ali,"Ahmed Fathy, Bayoumi Fouad, Sami Maghouri, Mohammed Tharwat, Mohamed Salam, Haya Ibrahim, Mohsen Mansour","A beauty expert, a drug dealer and a bungling revolutionary end up in the grips of an extremist group after meeting on a plane to Lebanon.",2017,5
Fary Is the New Black,Stand-Up Comedy,Adults,75,France,Kader Aoun,Fary,"Armed with sly wit, a fresh outlook and plenty of style, French comedy star Fary veers from dating to stereotypes and beyond in this exclusive special.",2018,3
Fashion,"Dramas, International Movies",Adults,158,India,Madhur Bhandarkar,"Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan",,2008,5
Fat Ballerina - David A. Arnold,Stand-Up Comedy,Adults,61,United States,Milton Horowitz,David A. Arnold,"Finally comfortable in his skin, seasoned comic David A. Arnold shares his talent for doing nothing, how he's petty and why divorce saves marriages.",2020,5
Fatal Affair,Thrillers,Young Adults,90,United States,Peter Sullivan,"Nia Long, Omar Epps, Stephen Bishop, Maya Stojan, Aubrey Cleland, Carolyn Hennesy",A lawyer is caught in a terrifying game of cat and mouse when a drink with an old friend escalates into an obsession that jeopardizes everyone she loves.,2020,5
Fate/Grand Order -First Order-,"Action & Adventure, Anime Features, International Movies",Young Adults,72,Japan,Hitoshi Namba,"Nobunaga Shimazaki, Rie Takahashi, Ayako Kawasumi, Madoka Yonezawa, Kenichi Suzumura, Tomokazu Sugita","Discovering that humanity is facing extinction, a new recruit to the Chaldea Security Organization goes back in time in order to save the future.",2016,2
Father of the Year,Comedies,Adults,95,United States,,"David Spade, Nat Faxon, Joey Bragg, Matt Shively, Bridgit Mendler, Jackie Sandler, Mary Gillis",A drunken debate between two recent college grads about whose father would win in a fight leads to mayhem when their dads take the challenge seriously.,2018,4
Father Soldier Son,Documentaries,Young Adults,100,United States,"Leslye Davis, Catrin Einhorn",,"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption.",2020,3
Fatso,"Comedies, Dramas, International Movies",Young Adults,97,India,Anne Bancroft,"Dom DeLuise, Anne Bancroft, Ron Carey, Candice Azzara",,2012,2
Fear and Loathing in Las Vegas,"Comedies, Cult Movies, Dramas",Young Adults,118,United States,Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire, Ellen Barkin",,1998,5
Fearless,"Children & Family Movies, Comedies",Kids,92,Canada,Peter Weir,"Jeff Bridges, Isabella Rossellini, Rosie Perez, Tom Hulce",,2020,4
Feel Rich,Documentaries,Adults,70,United States,Peter Spirer,"Quincy Jones, Common, Russell Simmons, Fat Joe, Paul Wall, Quincy Jones III","Talking squarely to the hip-hop generation, musicians, athletes and others outline the benefits of exercise, a healthy diet and spiritual wellness.",2017,3
Feel the Beat,"Children & Family Movies, Comedies, Dramas",Kids,110,United States,Elissa Down,"Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Eva Hauge, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna ColÃÂ³n, Shaylee Mansfield, Shiloh Nelson, Justin Allan, Carina Battrick, Kai Zen, Marissa Jaret Winokur, Enrico Colantoni, Dennis Andres","After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition.",2020,5
Felipe Esparza: They're Not Going to Laugh at You,Stand-Up Comedy,Adults,58,United States,Scott L. Montoya,Felipe Esparza,"""Last Comic Standing"" winner Felipe Esparza runs riot in his first comedy special with his wry comments on life as a wild man from East Los Angeles.",2012,1
Felipe Neto: My Life Makes No Sense,Stand-Up Comedy,Adults,91,Brazil,Diego Pignataro,Felipe Neto,"YouTube sensation Felipe Neto brings the stories from his autobiographical book ""NÃÂ£o Faz Sentido!"" to the stage in this comedy special.",2017,1
Felix Lobrecht: Hype,Stand-Up Comedy,Adults,60,Germany,Jan-Peter Horns,Felix Lobrecht,"Felix Lobrecht aims his dark humor at overly polite culture, weird laughter, the sheer awkwardness of a walking baby and more in this stand-up special.",2020,1
Feminists: What Were They Thinking?,"Documentaries, LGBTQ Movies",Adults,86,United States,Johanna Demetrakas,,"Revisiting 1970s photos of women that captured a feminist awakening, this film explores those women's lives and examines the continued need for change.",2018,5
Feo pero sabroso,"Comedies, International Movies",Adults,91,Colombia,Fernando AyllÃÂ³n,"IvÃÂ¡n MarÃÂ­n, Lina Cardona, Carlos Barbosa, Ana Cristina Botero, Karine Amaya, Fabiola Posada, Nelson PolanÃÂ­a, Andrea Carvajal, RocÃÂ­o Tavera, Alberto Saavedra, Christian LÃÂ³pez, Jorge Herrera, Ricardo Quevedo","When an unattractive man gets engaged to a beautiful woman, their families oppose the union and the priest set to perform the ceremony is kidnapped.",2018,4
Fernando Sanjiao: Hombre,Stand-Up Comedy,Adults,63,Argentina,"RaÃÂºl Campos, Jan Suter",Fernando Sanjiao,Argentine actor and comedian Fernando Sanjiao uses humor and impersonations to explore the concepts of masculinity and fatherhood in modern times.,2018,2
Ferrari Ki Sawaari,"Comedies, International Movies, Sports Movies",Teens,133,India,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.,2012,5
Ferris Bueller's Day Off,"Classic Movies, Comedies, Cult Movies",Teens,103,United States,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones",,1986,4
Fida,"International Movies, Romantic Movies, Thrillers",Young Adults,117,India,Ken Ghosh,"Kareena Kapoor, Fardeen Khan, Shahid Kapoor, Kim Sharma",,2004,3
Fiddler on the Roof,"Classic Movies, Dramas, Music & Musicals",Kids,181,United States,Norman Jewison,"Topol, Norma Crane, Leonard Frey, Molly Picon",,1971,2
Fierce,"Comedies, Dramas, International Movies",Adults,118,Poland,Anna Wieczur-Bluszcz,"Katarzyna Sawczuk, Maciej ZakoÃÂcielny, Anita SokoÃÂowska, Julia KamiÃÂska, Tomasz Karolak, Maria Pakulnis, Barbara Wypych, Wojciech Solarz, Adrian Majewski, MichaÃÂ Piprowski, Urszula Dudziak, Krzysztof Ibisz","A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury.",2020,3
Fifty,"Dramas, International Movies",Unknown,101,Nigeria,Biyi Bandele,"Dakore Akande, Ireti Doyle, Nse Ikpe-Etim, Omoni Oboli","In Lagos, Nigeria, four successful women on the verge of 50 take stock of their lives and loves over the course of one week.",2015,4
Fifty Year Old Teenager,"Comedies, International Movies",Young Adults,204,,Fouad Al Shatti,"Abdulhussain Abdulredah, Haifaa Adel, Dawood Hussain, Mohamed Gaber",The life of a married 50-year-old doctor turns topsy-turvy when he falls in love with a younger woman and begins to act like a teenager.,1996,5
Figaro Pho,"Children & Family Movies, Comedies",Kids,29,United Kingdom,Luke Jurevicius,Luke Jurevicius,Quirky little Figaro has a whole alphabet's worth of phobias. These wordless animated shorts follow his many fears from A to Z.,2008,2
Figures of Speech,Documentaries,Teens,92,United States,Ari Levinson,Chris Pine,"In this documentary, passionate high schoolers travel the country and come of age during a turbulent yearlong prep for a national speech competition.",2016,1
Filmworker,Documentaries,Adults,94,United States,Tony Zierra,Leon Vitali,Leon Vitali had a thriving acting career most others would envy. Then he gave it all up to devote himself completely to the vision of Stanley Kubrick.,2017,1
Filosofi Kopi The Movie,"Dramas, International Movies",Teens,118,Indonesia,Angga Dwimas Sasongko,"Chicco Jerikho, Rio Dewanto, Julie Estelle, Jajang C. Noer, Slamet Rahardjo, Otig Pakis, Arash Buana, Hazel Raditya, Dimas Harya, Westny Dj",The level-headed owner of a struggling coffee shop finds his future at risk when his partner Ã¢ÂÂ a talented but cocky barista Ã¢ÂÂ makes a major bet.,2015,4
Final Destination,"Cult Movies, Horror Movies, Thrillers",Young Adults,98,United States,James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke",,2000,3
Final Destination 2,"Horror Movies, Thrillers",Young Adults,90,"United States, Canada",David R. Ellis,"Ali Larter, A.J. Cook, Michael Landes, David Paetkau",,2003,3
Final Destination 3,Horror Movies,Young Adults,93,"United States, Germany",James Wong,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson",,2006,3
Finally Found Someone,"International Movies, Romantic Movies",Young Adults,125,Philippines,Theodore Boborol,"John Lloyd Cruz, Sarah Geronimo, Enchong Dee, Christian Bables, Joey Marquez, Yayo Aguila, Tetchie Agbayani, Dennis Padilla, Leo Rialp, Alwyn Uytingco","After a woman is very publicly left at the altar, the PR expert hired to fix the situation winds up falling in love with her.",2017,1
Finding Agnes,"Dramas, International Movies",Teens,106,Philippines,Marla M. Ancheta,"Jelson Bay, Sue Ramirez, Sandy Andolong, Roxanne Guinoo, Cheska IÃÂ±igo, Hannah Ledesma, Yuan Francisco, Raffa Esplana, Varoon Kessop","On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.",2020,3
Fire at Sea,"Documentaries, International Movies",Young Adults,114,"Italy, France",Gianfranco Rosi,"Samuele Caruana, Giuseppe Fragapane","Heartbreak, hope and nostalgia collide in this complex portrait of Lampedusa, a Mediterranean island where thousands of migrants land each year.",2016,3
Fire in Paradise,Documentaries,Adults,40,United States,"Drea Cooper, Zackary Canepari",,"In this documentary, survivors recall the catastrophic 2018 Camp Fire, which razed the town of Paradise and became CaliforniaÃ¢ÂÂs deadliest wildfire.",2019,3
Fire in the Blood,"Documentaries, International Movies",Young Adults,83,India,Dylan Mohan Gray,"Zackie Achmat, Peter Mugyenyi, Bill Clinton, William Hurt",,2012,1
Firebrand,"Dramas, International Movies",Adults,117,India,Aruna Raje,"Usha Jadhav, Girish Kulkarni, Sachin Khedekar, Rajeshwari Sachdev, Rushad Rana, Mrunal Oak","While she successfully advocates for her female clients in difficult divorce cases, a lawyerÃ¢ÂÂs trauma from sexual assault impacts her own marriage.",2019,4
Fireflies,"Dramas, Independent Movies, International Movies",Adults,99,India,Sabal Singh Shekawat,"Rahul Khanna, Arjun Mathur, Shivani Ghai, Monica Dogra, Aadya Bedi","Grappling with love and loss in their respective lives, two estranged brothers must confront their traumatic, unresolved past when they cross paths.",2013,3
Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,Movies,Kids,60,,George Ford,,"The first of its kind in UHD 4K, with the clearest picture available, a real fireplace sparks and crackles, adding warmth and atmosphere to any home.",2015,3
Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,Movies,Kids,60,,George Ford,,"For the first time in 4K Ultra-HD, everyone's favorite Yuletide fireplace snaps and crackles in crystal clear, high-def holiday warmth.",2015,4
Fireworks,"Anime Features, Romantic Movies",Teens,91,Japan,Kenneth Anger,"Kenneth Anger, Gordon Gray, Bill Seltzer",,2017,4
First Impression,"Comedies, Romantic Movies",Young Adults,96,United States,Arthur Muhammad,"Lamman Rucker, Lisa Arrindell Anderson, Elise Neal, Kendrick Cross","Unaware theyÃ¢ÂÂve matched online, a struggling writer embellishes his lifestyle to impress a successful exec with whom he sparks an unexpected romance.",2018,3
First Kill,Action & Adventure,Young Adults,102,"United Kingdom, Canada, United States",Steven C. Miller,"Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo, Magi Avila, Ty Shelton, Christine Dye","A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime.",2017,3
First Kiss,"Dramas, International Movies, Romantic Movies",Young Adults,90,Netherlands,Roy Poortmans,"VajÃÂ¨n van den Bosch, Buddy Vedder, Leontine Borsato, Caroline de Bruijn, Stijn Fransen, Marije Zuurveld",A starry-eyed employee of a hot cosmetics company hires a dreamy photographer who is secretly indebted to a major rival Ã¢ÂÂ her sketchy aunt.,2018,3
First Love,"Dramas, International Movies, Romantic Movies",Adults,123,Philippines,Henry Koster,"Deanna Durbin, Robert Stack, Eugene Pallette, Helen Parrish",,2018,4
First Match,"Dramas, Independent Movies, Sports Movies",Adults,103,United States,Olivia Newman,"Elvire Emanuelle, Yahya Abdul-Mateen II, Colman Domingo, Jharrel Jerome, Kim Ramirez, Jared Kemp, Allen Maldonado",A tenacious high school girl raised in foster homes in the inner city tries to reconnect with her ex-con father by joining a boys wrestling team.,2018,4
First They Killed My Father,Dramas,Adults,137,"Cambodia, United States",Angelina Jolie,"Sreymoch Sareum, Kompheak Phoeung, Socheata Sveng, Dara Heng, Sothea Khoun, Sreyneang Oun, Kimhak Mun, Chenda Run, Nika Sarun, Nita Sarun",A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.,2017,4
FirstBorn,"Horror Movies, International Movies",Adults,90,United Kingdom,Nirpal Bhogal,"Antonia Thomas, Luke Norris, Thea Petrie, Eileen Davies, Jonathan Hyde",A young couple fights supernatural foes in an attempt to save their daughter from the dark and mysterious forces that follow her every move.,2016,2
Fisherman's Friends,"Comedies, Dramas, Music & Musicals",Teens,112,United Kingdom,Chris Foggin,"Daniel Mays, James Purefoy, David Hayman, Dave Johns, Sam Swainsbury, Tuppence Middleton, Noel Clarke, Maggie Steed, Vahid Gold, Christian Brassington","Sea shanties have long united 10 Cornish fishermen, but when their chants sail to the music charts, their friendship is kept at bay.",2019,2
Fishpeople,"Documentaries, Sports Movies",Young Adults,49,,Keith Malloy,,"In this exploration of the life-changing power of the ocean, six people from very different backgrounds find purpose and meaning in the sea.",2017,3
Fishtail,Documentaries,Unknown,61,United States,Andrew Renzi,Harry Dean Stanton,Harry Dean Stanton narrates this documentary that follows two modern-day cowboys as they welcome new calves at Montana's Fishtail Basin Ranch.,2015,1
Fishtronaut: The Movie,Children & Family Movies,Kids,78,Brazil,"CÃÂ©lia Catunda, Kiko Mistrorigo, Rodrigo Eba","FÃÂ¡bio Lucindo, Celso Alves, Fernanda Bullara","Fishtronaut, Marina and Zeek travel to the big city in search of Grandpa, only to find that everyone else has mysteriously vanished too.",2018,2
Fitoor,"Dramas, International Movies, Romantic Movies",Young Adults,124,India,Abhishek Kapoor,"Katrina Kaif, Aditya Roy Kapoor, Aditi Rao Hydari, Rekha",,2016,2
Fittest in Dubai,"Documentaries, International Movies, Sports Movies",Young Adults,60,United Arab Emirates,Gerry Blaksley,,Top athletes from around the globe test their fitness in a four-day competition at the first-ever CrossFit Sanctional event. Let the games begin.,2019,1
Five Elements Ninjas,"Action & Adventure, International Movies",Young Adults,104,Hong Kong,Cheh Chang,"Tien-chi Cheng, Tien Hsiang Lung, Meng Lo, Michael Chan Wai-Man, Pei Hsi Chen, Li Wang, Ke Chu","When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school, a lone survivor vows deadly revenge.",1982,4
Five Nights in Maine,"Dramas, Independent Movies",Adults,83,United States,Maris Curran,"Rosie Perez, David Oyelowo, Dianne Wiest, Teyonah Parris",,2015,2
Fiza,"Dramas, International Movies, Music & Musicals",Young Adults,163,India,Khalid Mohamed,"Jaya Bhaduri, Karisma Kapoor, Hrithik Roshan, Neha",,2000,2
Flash of Genius,Dramas,Teens,119,"Canada, United States",Marc Abraham,"Greg Kinnear, Tim Eddis, Warren Belle, Karl Pruner",,2008,3
Flavors of Youth: International Version,"Anime Features, International Movies, Romantic Movies",Teens,74,"China, Japan","Xiaoxing Yi, Yoshitaka Takeuchi, Haoling Li","Taito Ban, Mariya Ise, Minako Kotobuki, Haruka Shiraishi, Hiroki Yasumoto, Takeo Otsuka, Ikumi Hasegawa, Takayuki Nakatsukasa","Memories in a bowl of steaming noodles, a fading beauty finding her way and a bittersweet first love Ã¢ÂÂ all in these stories of city life in China.",2018,2
Flimflam,"Comedies, International Movies",Young Adults,102,Egypt,Khaled Marei,"Ahmed Helmy, Donia Samir Ghanim, Sabrine, Bayyumi Fuad, Jamila Adel Awad, Bea, Yasser El Tobgy, Enaam Salousa","Nosy family in tow, a fun-loving bachelor goes on a romantic getaway, but he ends up pretending to be married to a complete stranger to avoid trouble.",2016,5
Flock of Four,"Dramas, Independent Movies, Music & Musicals",Adults,83,United States,Gregory Caruso,"Braeden Lemasters, Isaac Jay, Uriah Shelton, Dylan Riley Snyder, Coco Jones, Shane Harper, Nadji Jeter, Connor Paolo, Gatlin Green, Reg E. Cathey","One night in 1959, four young musicians venture from Pasadena to South-Central Los Angeles in the hopes of hearing a living jazz legend play.",2018,2
Flying Guillotine 2,"Action & Adventure, International Movies",Adults,88,Hong Kong,"Kang Cheng, Shan Hua","Feng Ku, Chung Wang, Szu Shih, Lung Ti, Lo Lieh, Szu-Chia Chen","The emperor's reign of terror expands. Heroic outlaw Ma Teng joins a squad of female rebels, whose leader is torn between family loyalties.",1978,4
Follow Me,"Documentaries, International Movies",Adults,86,"United Arab Emirates, United States, United Kingdom",Asri Bendacha,Asri Bendacha,"Aspiring to be an internet celebrity and make big bucks, a filmmaker travels the world to learn the tricks of the trade from social media influencers.",2017,3
Food on the Go,"Documentaries, International Movies",Adults,66,"Argentina, Italy",Mercedes Cordova,,"Epicureans and experts trace the migration of Italian cuisine and its evolution in the Americas, delving into the ideas of origin, diaspora and heritage.",2017,4
Footprints: The Path of Your Life,"Documentaries, Faith & Spirituality, International Movies",Teens,90,Spain,Juan Manuel Cotelo,,"This documentary follows 10 men who agree to walk the Camino de Santiago, a 500-mile, 40-day trek that will challenge their strength and faith.",2015,5
For Colored Girls,Dramas,Young Adults,134,United States,Tyler Perry,"Kimberly Elise, Janet Jackson, Loretta Devine, Thandie Newton",,2010,2
For Grace,Documentaries,Teens,92,United States,"Mark Helenowski, Kevin Pang",,,2015,4
For Greater Glory,"Dramas, International Movies",Young Adults,145,Mexico,Dean Wright,"RubÃÂ©n Blades, Bruce Greenwood, Bruce McGill, Peter O'Toole, Andy Garcia, Nestor Carbonell, Eduardo VerÃÂ¡stegui, Catalina Sandino Moreno, Eva Longoria, Santiago Cabrera, Adrian Alonso, Oscar Isaac, Mauricio Kuri","When a vicious war against Catholics is waged in Mexico in the 1920s, a retired general joins the militia fighting to preserve religious freedom.",2012,3
For Here or to Go?,"Comedies, Dramas, Independent Movies",Adults,105,"United States, India",Rucha Humnabadkar,"Ali Fazal, Melanie Chandra, Rajit Kapur, Amitosh Nagpal",,2015,4
For Love or Money,Comedies,Adults,95,United Kingdom,Michael Gordon,"Kirk Douglas, Mitzi Gaynor, Gig Young, Thelma Ritter",,2019,4
For the Birds,Documentaries,Adults,93,United States,Ralph Eggleston,Ralph Eggleston,,2018,3
For the Broken Hearted,"Dramas, International Movies, Romantic Movies",Young Adults,93,Philippines,Digo Ricio,"Yassi Pressman, Sam Concepcion, Louise De Los Reyes, Shy Carlos, Marco Gumabao, Katya Santos, Andrea Del Rosario, Lander Vera Perez, Christopher Roxas","In three interwoven stories, love ends up in limbo as romantic partners navigate bliss, loss, failures and feelings while trying to make happiness last.",2018,4
For the Love of Benji,Children & Family Movies,Kids,84,United States,Joe Camp,"Benjean, Art Vasil, Allen Fiuzat, Patsy Garrett",,1977,4
For the Love of Spock,Documentaries,Young Adults,112,"Canada, United States",Adam Nimoy,"Zachary Quinto, J.J. Abrams, William Shatner, Leonard Nimoy",,2016,4
For Your Own Good,"Comedies, International Movies",Adults,93,Spain,Carlos TherÃÂ³n,"Jose Coronado, Javier CÃÂ¡mara, Roberto ÃÂlamo, Pilar Castro, MarÃÂ­a Pujalte, Carmen Ruiz, Silvia Alonso, Georgina AmorÃÂ³s, Andrea Ros, Miki EsparbÃÂ©","Three brothers-in-law join forces to secretly drive away their daughters' undesirable boyfriends: anarchist ÃÂlex, bad-boy Dani and playboy Ernesto.",2017,5
Forbidden Games: The Justin Fashanu Story,"Documentaries, International Movies, LGBTQ Movies",Young Adults,81,United Kingdom,"Jon Carey, Adam Darke","Justin Fashanu, John Fashanu","This documentary chronicles the tragic, true story of Justin Fashanu, the first Ã¢ÂÂ and only Ã¢ÂÂ openly gay man to have played professional soccer.",2017,3
Forbidden Planet,"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",Kids,98,United States,Fred M. Wilcox,"Walter Pidgeon, Anne Francis, Leslie Nielsen, Warren Stevens",,1956,3
Force 2,"Action & Adventure, International Movies",Young Adults,123,India,Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin, Narendra Jha, Adil Hussain, Vikram Kapadia, Patricia Hittler, Genelia D'souza, Raj Babbar, Freddy Daruwala, Boman Irani","An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest.",2016,5
Forensic,"International Movies, Thrillers",Young Adults,132,India,"Akhil Paul, Anas Khan","Tovino Thomas, Mamtha Mohandas, Renji Panicker, Saiju Kurup, Reba Monica John, Pratap Pothen, Giju John, Sreekanth Murali","A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.",2020,2
Forever Chape,"Documentaries, International Movies, Sports Movies",Adults,74,Brazil,Luis Ara,,"In the wake of the plane crash that claimed the lives of 71 people, the Brazilian soccer club Chapecoense seeks to rebuild the team that made history.",2018,1
Forever Pure,"Documentaries, International Movies, Sports Movies",Adults,87,"United Kingdom, Israel, Russia",Maya Zinshtein,,The furor over the addition of two Muslim players to the Beitar Jerusalem soccer club underscores the role of institutionalized racism in Israel.,2016,1
Forgive Us Our Debts,"Dramas, International Movies",Adults,105,"Italy, Switzerland, Albania, Poland",Antonio Morabito,"Marco Giallini, Claudio Santamaria, Jerzy Stuhr, Flonja Kodheli","Threatened by creditors, a newly unemployed man agrees to work for a debt collector, but soon discovers his deal with the devil has unexpected costs.",2018,2
Forgotten,"Dramas, International Movies, Thrillers",Adults,109,South Korea,Alex Schmidt,"Mina Tander, Laura de Boer, Lina KÃ¯Â¿Â½hlert, Mia Kasalo",,2017,5
Forks Over Knives,Documentaries,Teens,96,United States,Lee Fulkerson,"Lee Fulkerson, Matthew Lederman, Alona Pulde, T. Colin Campbell",,2011,2
Fortune Feimster: Sweet & Salty,Stand-Up Comedy,Adults,61,United States,Krysia Plonka,Fortune Feimster,"Actor, comedian and writer Fortune Feimster takes the stage and riffs on her southern roots, sexual awakenings, showbiz career and more.",2020,2
Four Christmases,"Comedies, Romantic Movies",Teens,88,"Germany, United States",Seth Gordon,"Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek",,2008,1
Four Sisters and a Wedding,"Comedies, Dramas, International Movies",Young Adults,125,Philippines,Cathy Garcia-Molina,"Bea Alonzo, Toni Gonzaga, Angel Locsin, Shaina Magdayao, Enchong Dee, Sam Milby, Angeline Quinto, Coney Reyes","Four sisters unite to stop their young brother's pending nuptials upon meeting his fiancÃÂ©eÃ¢ÂÂs demanding family, revealing long-simmering family issues.",2013,4
Four Weddings and a Funeral,"Classic Movies, Comedies, International Movies",Young Adults,118,United Kingdom,Mike Newell,"Hugh Grant, James Fleet, Simon Callow, John Hannah",,1994,1
Fracture,"Dramas, Thrillers",Young Adults,113,"United States, Germany",Gregory Hoblit,"Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike",,2007,2
Fractured,Thrillers,Adults,100,United States,Lance Kawas,"Eric Roberts, Jake Busey, Reima Abouarabi, Shena Adl",,2019,2
Franca: Chaos and Creation,"Documentaries, International Movies",Adults,79,"United States, Italy",Francesco Carrozzini,,"A documentary filmmaker chronicles the life and times of his mother, Franca Sozzani, the editor of Italian Vogue and a fashion-world provocateur.",2016,5
Frances Ha,"Comedies, Dramas, Independent Movies",Young Adults,86,"United States, Brazil",Noah Baumbach,"Greta Gerwig, Mickey Sumner, Michael Esper, Adam Driver",,2012,2
Francesco De Carlo: Cose di Questo Mondo,Stand-Up Comedy,Adults,61,Italy,,Francesco De Carlo,"Taking the stage in Milan, Francesco De Carlo opens up about his bad habits, religion, politics and what he's learned from traveling the world.",2019,5
Franco Escamilla: Bienvenido al mundo,Stand-Up Comedy,Adults,54,Mexico,Ulises Valencia,Franco Escamilla,"Comedian Franco Escamilla shares stories about parenting his children when they get into trouble, with reflections on gender, friendship and romance.",2019,5
Franco Escamilla: Por la anecdota,Stand-Up Comedy,Adults,66,Mexico,Ulises Valencia,Franco Escamilla,Mexican stand-up comedian Franco Escamilla draws his jokes from real-life experiences Ã¢ÂÂ and he's willing to do anything for new material.,2018,3
