name,genre,age_group,runtime,country,director,cast,description,released,popular
2 States,"Comedies, Dramas, International Movies",Teens,143,India,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathy",,2014,2
20 Feet From Stardom,"Documentaries, Music & Musicals",Teens,91,United States,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, TÃÂ¡ta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",2013,3
2015 Dream Concert,"International Movies, Music & Musicals",Teens,107,South Korea,,"4Minute, B1A4, BtoB, ELSIE, EXID, EXO, Got7, INFINITE, KARA, Shinee, Sistar, VIXX, Nine Muses, BTS, Secret, Topp Dogg","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",2015,1
2036 Origin Unknown,Sci-Fi & Fantasy,Young Adults,95,United Kingdom,Hasraf Dulull,"Katee Sackhoff, Ray Fearon, Julie Cox, Steven Cree, David Tse, Joe David Walters","Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery.",2018,4
20th Century Women,"Dramas, Independent Movies",Young Adults,119,United States,Mike Mills,"Elle Fanning, Greta Gerwig, Annette Bening",,2016,3
21 & Over,Comedies,Young Adults,93,United States,"Jon Lucas, Scott Moore","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright",,2013,3
2307: Winter's Dream,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",Adults,101,United States,Joey Curtis,"Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley","In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.",2016,1
24 Hours to Live,Action & Adventure,Young Adults,93,"South Africa, China, United States",Brian Smrz,"Ethan Hawke, Xu Qing, Paul Anderson, Rutger Hauer, Tyrone Keogh, Nathalie Boltt, Liam Cunningham","Revived by an experimental procedure, a hit man gets to live an extra 24 hours Ã¢ÂÂ which he uses to avenge his dead wife and child and redeem himself.",2017,5
25 Kille,"Action & Adventure, Dramas, International Movies",Young Adults,140,India,Simranjit Singh Hundal,"Guggu Gill, Yograj Singh, Sonia Mann, Jimmy Sharma, Sapna Bassi, Lakha Lakhwinder Singh, Sandeep Kaur Sandy, Sardar Sohi","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",2016,2
26 Years,"Dramas, International Movies, Thrillers",Adults,135,South Korea,Geun-hyeon Jo,"Ku Jin, Hye-jin Han, Soo-bin Bae, Seul-ong Im",,2012,1
"27, el club de los malditos","Action & Adventure, Comedies, International Movies",Adults,82,Argentina,Nicanor Loreti,"Diego Capusotto, SofÃÂ­a Gala, Daniel ArÃÂ¡oz, Willy Toledo, El Polaco, Paula Manzone, Yayo Guridi, Guillermo Toledo","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27.",2018,3
27: Gone Too Soon,Documentaries,Adults,70,United Kingdom,Simon Napier-Bell,"Janis Joplin, Jimi Hendrix, Amy Winehouse, Jim Morrison, Kurt Cobain","Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse.",2017,2
28 Days,"Comedies, Dramas",Teens,104,United States,Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Elizabeth Perkins",,2000,2
3 Days to Kill,Action & Adventure,Teens,117,"United States, France, Serbia",McG,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen",,2014,1
3 Deewarein,"Dramas, International Movies, Thrillers",Adults,121,,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas","A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.",2003,5
